username,sentiment,sentiment
Magnumpiredux,Negative,100.0
MariaKChica,Negative,100.0
MariiahCarlos,Negative,100.0
MarkKollias,Negative,100.0
Marsh_Ink,Positive,60.0
Marsh_Ink,Negative,40.0
MattC2334,Negative,50.0
MattC2334,Positive,50.0
MaureenGalliga3,Negative,100.0
McRePete,Positive,100.0
MegAndBubba,Positive,100.0
MeierEyeYam,Negative,100.0
MetroPulseUSA,Positive,100.0
Meyer_HM,Positive,100.0
Michael_D_Sims,Negative,100.0
MiddleMolly,Negative,59.09090909090909
MiddleMolly,Positive,40.909090909090914
MikeRustA2,Negative,100.0
MikeyDusse,Positive,100.0
MilGovnr_USSC,Negative,100.0
Moking04,Negative,100.0
Momx4x6,Negative,100.0
MrJohnLopez,Negative,100.0
MrOnOurOwn,Negative,100.0
MrsJroChicago,Negative,100.0
Mvlinowski,Positive,100.0
NMNP_Ruthless,Positive,100.0
Nel_Mezzo,Positive,100.0
NewsWhatNews,Negative,100.0
Northsiders1985,Positive,100.0
OccupyCompanies,Negative,50.0
OccupyCompanies,Positive,50.0
OneMurphy,Positive,52.94117647058824
OneMurphy,Negative,47.05882352941176
OpenOutcrier,Positive,100.0
PAVH48,Negative,100.0
Pacerfan101,Positive,100.0
Pam37951639,Positive,100.0
ParkerMolloy,Negative,100.0
PeterLaBarbera,Positive,100.0
Petty_Explorer,Positive,100.0
PilarEllis,Negative,100.0
R0cky_T0p,Negative,100.0
RAWneighbors,Negative,100.0
RCLGuard,Positive,100.0
RJohnson69,Negative,100.0
RSepeta,Positive,100.0
RakeetaNoelle,Positive,100.0
RancherMountain,Positive,100.0
RandomlyOnside,Negative,100.0
RandySchmalz,Positive,100.0
RannBecca,Negative,100.0
RationalChicago,Negative,100.0
ReignbowFlexx,Negative,50.0
ReignbowFlexx,Positive,50.0
Rob_Robb,Negative,100.0
RomanShuster,Negative,100.0
Rosario80242282,Positive,100.0
RudyCenteno73,Negative,100.0
RyanB1234321,Negative,75.0
RyanB1234321,Positive,25.0
SCP13,Negative,68.57142857142857
SCP13,Positive,31.428571428571427
SFrank38286129,Positive,57.14285714285714
SFrank38286129,Negative,42.857142857142854
Samyann_Writer,Positive,100.0
SavedOne1,Negative,50.0
SavedOne1,Positive,50.0
SeanDwayneJ,Positive,66.66666666666666
SeanDwayneJ,Negative,33.33333333333333
SenfBrian,Negative,100.0
Shamrock93,Positive,100.0
ShannonAnnMAGA,Positive,100.0
SirBata,Negative,100.0
SirDennis,Negative,100.0
SpiritofKahless,Negative,100.0
SquirmyMacWormy,Positive,100.0
StatsInTheWild,Negative,100.0
SteveJohnsonMBA,Negative,100.0
StinaPoux,Positive,100.0
Styron_Powers,Negative,100.0
Sup3rSirk,Negative,50.0
Sup3rSirk,Positive,50.0
Supergirleileen,Negative,100.0
Suscuss1,Positive,100.0
SwampProQuo,Positive,100.0
TDFbaseball14,Positive,100.0
TDuble,Negative,100.0
TManley6,Negative,100.0
TabithaOXO,Negative,100.0
TarvisMarmalade,Negative,100.0
TatsOG55,Negative,100.0
TeachEsp,Positive,100.0
That_seals_it,Positive,100.0
ThatsJacqueline,Positive,100.0
TheDavidAlarc,Positive,100.0
TheFaxMatter,Positive,100.0
TheKirbmaster,Negative,100.0
TheRealMKP357,Positive,100.0
Thegillman69,Positive,100.0
Theworldhasgon4,Negative,100.0
Titzker,Positive,100.0
TomStephensChi,Negative,66.66666666666666
TomStephensChi,Positive,33.33333333333333
Tom__Pappalardo,Negative,50.0
Tom__Pappalardo,Positive,50.0
Tomko_1,Positive,100.0
Torchtip1,Negative,100.0
TradefinalotFin,Positive,100.0
TrixordoChicago,Negative,50.0
TrixordoChicago,Positive,50.0
TruthIsOurFrie1,Positive,60.0
TruthIsOurFrie1,Negative,40.0
TyroneW79180291,Negative,66.66666666666666
TyroneW79180291,Positive,33.33333333333333
Unit1127,Negative,100.0
Usorthem1,Negative,50.0
Usorthem1,Positive,50.0
VRValicento,Positive,100.0
VanAlan668,Positive,100.0
VincentJuarez69,Positive,100.0
WWG1WGAVoteRed,Negative,100.0
WendyMingin,Negative,100.0
