date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-18 23:18:23,whet,HerecomesDrBob,1,0,3,"They're really worried about how easily Biden has been pulled to the left (but just because they're afraid he won't reach swing voters, really)",,,,1284628614676467715,https://twitter.com/whet/status/1284628614676467715
2020-07-18 23:17:16,BarbaraWieczor7,,0,1,0,"Biden Releases Proposal For Reopening Schools : NPR ",,,,1284628332127059968,https://twitter.com/BarbaraWieczor7/status/1284628332127059968
2020-07-18 23:16:29,amrizzo28,mmpadellan,0,0,0,"So Joe “I don’t want my kids raised in a racial jungle” Biden is your anti racist candidate ",,,,1284628137133957121,https://twitter.com/amrizzo28/status/1284628137133957121
2020-07-18 23:16:09,VincentJuarez69,Fishbones2017,0,0,1,"Biden agrees with whoever is in the room soooo all we gotta do is stagger The Squad to always be around.",,,,1284628052950093826,https://twitter.com/VincentJuarez69/status/1284628052950093826
2020-07-18 23:14:58,dmpull,JoeBiden,0,0,0,"This is such a disgusting tweet. This man don’t mean nothing he says. It’s because your running for pres you even said everything.",,,,1284627753598320642,https://twitter.com/dmpull/status/1284627753598320642
2020-07-18 23:14:45,MCecchi19,T_S_P_O_O_K_Y,0,2,2,"Don’t need local approval when they are defacing federal property. The feds have full authority to handle that. Stop stocking fires. These rioters need to know this isn’t acceptable",,,,1284627699592503296,https://twitter.com/MCecchi19/status/1284627699592503296
2020-07-18 23:14:38,theTrixieMcGee,brycetache,0,0,0,"I don't give a fuck about Biden, but I'm damn well voting for him in November, and you should too. #VoteBiden2020 #Biden2020 #VoteBlueToEndThisNightmare",,,#VoteBiden2020 #Biden2020 #VoteBlueToEndThisNightmare,1284627669024493573,https://twitter.com/theTrixieMcGee/status/1284627669024493573
2020-07-18 23:14:19,_Killion_,Otis64,0,0,0,"You’ve got a problem with my political opinions but think I like Pelosi, Biden and Schumer?",,,,1284627591991828481,https://twitter.com/_Killion_/status/1284627591991828481
2020-07-18 23:13:43,chimp_chimp1,SallyAlbright,0,0,0,"Against Biden? What? When? When he doesn’t run for re-election? These ads don’t cost nothing. Do you know how much it costs to run an ad each of Florida’s 19 media markets? Please.",,,,1284627438085996545,https://twitter.com/chimp_chimp1/status/1284627438085996545
2020-07-18 23:12:20,scottmonaghan,SeanOfKelley,1,0,1,"I disagree. He hates incompetence and political bullshit. He would hate Trump, but he also would have hated Clinton and Biden. He doesn’t vote. “They’re all fucking the same Bunk.”",,,,1284627090374107137,https://twitter.com/scottmonaghan/status/1284627090374107137
