username,sentiment,sentiment
Kirkajawea,Negative,100.0
Klemmergirl,Negative,100.0
KohliManny,Positive,100.0
KoobKram,Positive,100.0
Kramerica_HQ,Negative,100.0
KyleMullins19,Negative,100.0
KyleStoffers,Positive,100.0
LLOYDWILLIAMS14,Negative,50.0
LLOYDWILLIAMS14,Positive,50.0
LPGNKCFGGT,Negative,100.0
La_Bete_humaine,Negative,85.71428571428571
La_Bete_humaine,Positive,14.285714285714285
LagItOnTheBlame,Negative,100.0
LanceASchart,Positive,100.0
LangmanVince,Positive,100.0
LaroSos1,Negative,50.0
LaroSos1,Positive,50.0
LauraDurnell,Positive,100.0
Lauratrigirl,Negative,100.0
LaurenceWoods5,Positive,100.0
LaurquiW,Negative,100.0
LeBonTravel,Positive,100.0
LeahCG12,Positive,100.0
LeeSP,Positive,100.0
LeesyPeesy,Negative,100.0
LeftistLutheran,Negative,100.0
Lena_Couture,Positive,100.0
Leroy_Brown7,Negative,100.0
LiberalDem101,Positive,100.0
LifeOfYunis,Positive,100.0
LilPangea,Negative,100.0
Lil_hippie__,Positive,100.0
Lilmane42O,Negative,100.0
LiquidEnigma,Positive,100.0
LisaGuillen,Negative,100.0
LisaMcEwen76,Positive,100.0
Lisa_Battleaxe,Negative,50.0
Lisa_Battleaxe,Positive,50.0
LonoSG,Negative,50.0
LonoSG,Positive,50.0
LoopGuy7,Negative,100.0
Lou_ChiSox_35,Negative,100.0
Lowdownsquare,Negative,100.0
Luv2Bowl99,Positive,100.0
M26HIL,Positive,100.0
MDahcheh,Negative,100.0
MKernel85,Negative,100.0
Ma1Reyno1ds,Positive,100.0
ManBear32709161,Positive,100.0
Marc47996155,Negative,100.0
MargeHippie,Positive,100.0
MariaclaraPinz2,Negative,100.0
MarieFlemings,Negative,100.0
MarkJacob16,Negative,50.0
MarkJacob16,Positive,50.0
Marsh_Ink,Negative,66.66666666666666
Marsh_Ink,Positive,33.33333333333333
MartyMcKee,Positive,100.0
Maryliz40414165,Positive,100.0
MattC2334,Negative,80.0
MattC2334,Positive,20.0
MegAndBubba,Positive,100.0
MellamoLogan129,Negative,100.0
Mid_West_Jake,Positive,100.0
MiddleMolly,Negative,50.0
MiddleMolly,Positive,50.0
Mike281mike,Positive,100.0
MikeMinton333,Positive,100.0
Milfuegos,Positive,100.0
Misanthrologue,Positive,100.0
MkinoChgo,Positive,100.0
MoOkonski,Negative,100.0
MontgomeryKell1,Positive,100.0
MountainMike99,Positive,100.0
MrArmandoRivera,Negative,100.0
MrGoonzilla,Positive,100.0
MrKarch,Positive,100.0
Mutineer__,Negative,100.0
NerdyGuy365,Negative,100.0
Newslover458,Negative,100.0
NikolasTaylor01,Negative,100.0
NotALocke76,Negative,100.0
NurseVal22,Negative,50.0
NurseVal22,Positive,50.0
NyxGreenfyre,Positive,100.0
OGNathan23,Negative,100.0
OPCGhost,Negative,100.0
OddsBotkins,Positive,100.0
OfficialRedJak,Positive,100.0
OliverGavin4,Negative,100.0
OneMurphy,Positive,100.0
Orerefresh,Negative,100.0
PEVeith,Negative,100.0
PMC713,Negative,100.0
Pacerfan101,Negative,100.0
Pam37951639,Negative,50.0
Pam37951639,Positive,50.0
PancakesNow,Positive,100.0
PatrickHenryQ,Negative,100.0
PatrickTekuila,Negative,100.0
PeggyCher63,Positive,66.66666666666666
PeggyCher63,Negative,33.33333333333333
PeterLaBarbera,Positive,100.0
PeterVestinos,Negative,100.0
PitneyAllen,Negative,100.0
Plusinista,Positive,100.0
PoppertheCat,Negative,100.0
PostFactSojourn,Negative,100.0
PresTightrhymes,Negative,100.0
R88D8,Positive,100.0
RBRB1516,Negative,100.0
Ranavarrete1608,Negative,100.0
RayPride,Negative,100.0
RichardJ00PH,Positive,100.0
Rob_Robb,Negative,100.0
RocketToLulu,Positive,100.0
RolandSShapiro,Positive,100.0
RonnieLottz,Negative,100.0
Roonie_Bear,Positive,100.0
Rosario80242282,Positive,100.0
RtzJ9,Negative,100.0
RubyWatch63,Negative,100.0
RudyCenteno73,Negative,100.0
RyanB1234321,Negative,100.0
SCH0410,Positive,100.0
SCP13,Negative,100.0
SFrank38286129,Negative,60.0
SFrank38286129,Positive,40.0
