date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-18 21:38:10,LeftistLutheran,,0,0,0,"https://www.washingtonpost.com/magazine/2020/03/26/can-deborah-birx-save-us-coronavirus/?arc404=true Here's WaPo in M arch telling us how Birx was going to save us from Trump. Didn't quite pan out that way. Anyone with an office in the WH ends up becoming complicit.",,,,1284603393244377088,https://twitter.com/LeftistLutheran/status/1284603393244377088
2020-07-18 21:38:08,Pam37951639,JShapiroSat,0,0,2,"This is true @RonDeSantisFL",,@RonDeSantisFL,,1284603384063053827,https://twitter.com/Pam37951639/status/1284603384063053827
2020-07-18 21:37:28,1962Excalibur,MockingjayMo,0,0,5,"I pray that the tapes don’t come out, that my taxes aren’t released and that Putin doesn’t poison me for not being able to complete his plan destroy America.",,,,1284603218249625606,https://twitter.com/1962Excalibur/status/1284603218249625606
2020-07-18 21:37:05,Klemmergirl,realDonaldTrump,0,0,5,"Rather Have Joe Biden Than Trump COVID19 Spreading Pathological Lying Job Killing Ass!! ",,,,1284603122795642881,https://twitter.com/Klemmergirl/status/1284603122795642881
2020-07-18 21:37:05,AtomicAnalyst,MrDanZak,22,32,181,"Among other things, this photograph shows Trump may soon also be remembered as the heaviest US president ever (William Howard Taft, who was 5 feet, 11 inches tall, holds the current record at 335-340 pounds while in office from 1909-13). ",,,,1284603120367161344,https://twitter.com/AtomicAnalyst/status/1284603120367161344
2020-07-18 21:37:04,anthonycdemaria,netw3rk,1,0,0,"Poor Connor, no one in his family votes for him. Let’s be honest though, everyone in that family except maybe Shiv and Cousin Greg is voting for Trump. You think that family wants to bring in someone who will jack up their corporate tax rates? Nothing else would matter to them",,,,1284603117464674304,https://twitter.com/anthonycdemaria/status/1284603117464674304
2020-07-18 21:36:47,Thegillman69,FlatwarePattern,1,0,0,"You are being more than rude. You are being unconscionably cruel. She just lost her son to suicide. Losing a child is one of the most horrible things that can happen to a person. I know what a horrible, orange creature that Trump is, and Trump is a terrible threat.",,,,1284603043993079808,https://twitter.com/Thegillman69/status/1284603043993079808
2020-07-18 21:36:43,greeks_4Trump,,169,352,284,"Let’s do this Patriots! POLL: What grade would you give President Trump for his handling of the Covid-19 pandemic? https://www.wsmv.com/poll-what-grade-would-you-give-president-trump-for-his-handling-of-the-covid-19/poll_e7127d82-c838-11ea-b5dc-13723e8b3e1a.html?utm_medium=social&amp;utm_source=twitter&amp;utm_campaign=user-share via @wsmv",,@WSMV,,1284603029677899777,https://twitter.com/greeks_4Trump/status/1284603029677899777
2020-07-18 21:36:30,Kimberl16801527,realDonaldTrump,0,0,0,"",,,,1284602973130313728,https://twitter.com/Kimberl16801527/status/1284602973130313728
2020-07-18 21:36:25,CrazyHadel,JonBThompson,1,0,0,"Looool",,,,1284602954293673986,https://twitter.com/CrazyHadel/status/1284602954293673986
2020-07-18 21:36:12,LoopGuy7,,1,0,0,"Artist Installs Anti-Trump ‘Living Statues’ Around D.C. ",,,,1284602897855062020,https://twitter.com/LoopGuy7/status/1284602897855062020
2020-07-18 21:35:31,WWG1WGAVoteRed,jacqueline_woon,0,0,1,"With it until Trump! Flynn, Barr and others previously and now",,,,1284602725926408192,https://twitter.com/WWG1WGAVoteRed/status/1284602725926408192
2020-07-18 21:35:26,Lil_hippie__,DRLDD,2,0,2," Donald Trump is a racist and you are voting for him",,,,1284602704841576449,https://twitter.com/Lil_hippie__/status/1284602704841576449
2020-07-18 21:35:17,dahleeah__,MelissaUrieta,0,0,0,"Home Depot also supported the first Trump campaign pero ahí están todos los mexicanos trabajadores comprando o chambeando no mms ",,,,1284602666283302915,https://twitter.com/dahleeah__/status/1284602666283302915
2020-07-18 21:35:01,people_r_nuts,realDonaldTrump,0,0,0,"Republicans had the majority for two years. Whatever you didn't get done is your fault. You're bad at this.",,,,1284602602064433152,https://twitter.com/people_r_nuts/status/1284602602064433152
2020-07-18 21:35:00,gilbertobm,,0,0,0,"Ahora la moda es venezolanos en USA peleando por defender o estar en contra de Trump... No hemos sabido elegir un buen lider desde 1993 y le vamos a ensenar a la democracia mas grande del planeta a elegir el suyo. En serio mejor guardar silencio, no encochinen un pais tan bello.",,,,1284602597853233154,https://twitter.com/gilbertobm/status/1284602597853233154
2020-07-18 21:34:23,samanthawarady,,0,1,0,"2020-when I hear trump...but picture @sarahcpr",,@sarahcpr,,1284602442131353600,https://twitter.com/samanthawarady/status/1284602442131353600
2020-07-18 21:34:16,rambo2238,PaulusAr,2,0,0,"Wondering if you can help me out. What party created the KKK, and what group pf people created the republican party? Asking for a friend",,,,1284602411823357957,https://twitter.com/rambo2238/status/1284602411823357957
2020-07-18 21:33:58,GHogChi,DavaiDavai69,1,0,1,"If you follow my other ""Dances with Fascists"" threads, you will see that I am *that* Peewee Fuckwad Feeblegeezer, Race Traitor without Portfolio. All #MAGAts of whatever gender, red or blue, are to address me as Your Traitorship or risk ignorement. (""you're"" ma says proofread)",,,#MAGAts,1284602337412227073,https://twitter.com/GHogChi/status/1284602337412227073
2020-07-18 21:33:35,Fillan20,glasszman,1,0,0,"Keeping my Panic Pete close; I’m only on page 15, but anticipate needing Pete’s help in a matter of pages.",,,,1284602239101947906,https://twitter.com/Fillan20/status/1284602239101947906
2020-07-18 21:33:33,Kramerica_HQ,MrDanZak,0,0,0,"Is LadyG that petite? Or is Trump like really really fat?",,,,1284602231497654274,https://twitter.com/Kramerica_HQ/status/1284602231497654274
2020-07-18 21:33:27,LiquidEnigma,santiagomayer_,0,0,2,"Lockstep with the same sort of disinformation and propaganda she allegedly loathes Trump over. Everyone is a lying anti-American...EXCEPT Bernie. Indoctrination is so weak and pitiful...",,,,1284602205526544385,https://twitter.com/LiquidEnigma/status/1284602205526544385
2020-07-18 21:33:27,OGNathan23,sirhottest,2,0,5,"Imagine still supporting trump after covid lmao like ok he said some populist anti corruption shit when he first ran but by now? Cmon man ",,,,1284602204893122563,https://twitter.com/OGNathan23/status/1284602204893122563
2020-07-18 21:32:58,1962Excalibur,CraigSh8,0,0,1,"",,,,1284602086626414593,https://twitter.com/1962Excalibur/status/1284602086626414593
2020-07-18 21:32:46,chadmd23,HKrassenstein,0,0,1,"When are your sons released from prison?",,,,1284602033610412033,https://twitter.com/chadmd23/status/1284602033610412033
2020-07-18 21:32:20,Coinfox1,mvlaurin,0,0,0,"use your head. No political figures funnel money thrubtheir own accts. It's all done thru family accts. Trump is gonna force the courts to rule on it. This will set precedent so we can get all the tax returns from pelosi, nailer,schiff,and biden family members. Trap set dems dumb",,,,1284601925967765504,https://twitter.com/Coinfox1/status/1284601925967765504
2020-07-18 21:32:11,JKrasnozon,,0,0,0,"This is unconscionable. #TrumpVirus #NoLivesMatter Trump administration pushing to block new money for testing, tracing, and CDC in upcoming coronavirus relief bill By Erica Werner and Jeff Stein ",,,#TrumpVirus #NoLivesMatter,1284601889741578246,https://twitter.com/JKrasnozon/status/1284601889741578246
2020-07-18 21:32:07,randthedragon,LindaSchupp2,0,0,0,"^bot",,,,1284601870745575426,https://twitter.com/randthedragon/status/1284601870745575426
2020-07-18 21:32:02,Klemmergirl,radicalfreedom1,0,0,1,"Here's A Good One I'm Gonna Post To COVID19 Spreading Pathological Lying Sociopath Corrupted Treasonous Crooked Criminal Trump!! ",,,,1284601850243817473,https://twitter.com/Klemmergirl/status/1284601850243817473
