username,sentiment,sentiment
MacArthrJustice,Positive,100.0
MarkCle97237358,Positive,100.0
MarkRangeI,Negative,50.0
MarkRangeI,Positive,50.0
MaryAnnAhernNBC,Positive,100.0
MattFinnFNC,Positive,60.0
MattFinnFNC,Negative,40.0
MayorRahm,Positive,100.0
MidnoirCowboy,Negative,61.53846153846154
MidnoirCowboy,Positive,38.46153846153847
MikeSideDykes,Positive,100.0
MikloVelazquez,Positive,100.0
Missyteaches,Positive,100.0
MontyHeat,Positive,100.0
MrBrandonIson,Negative,100.0
MrCxnnorB,Negative,100.0
MrGBIZ,Negative,100.0
MyNameIsNotRon,Positive,100.0
MzNubianGoddess,Negative,100.0
NYPDBaseball,Positive,100.0
NaderDIssa,Positive,100.0
Nae_Homie,Positive,100.0
NancyLoo,Positive,61.53846153846154
NancyLoo,Negative,38.46153846153847
NaomiBata,Positive,100.0
NatalieMNBC,Negative,100.0
NatashaInRed,Negative,50.0
NatashaInRed,Positive,50.0
NickVanek21,Positive,100.0
NikiTurley3,Negative,50.0
NikiTurley3,Positive,50.0
Ninnafaye,Positive,100.0
Nita_NitaNiiita,Negative,50.0
Nita_NitaNiiita,Positive,50.0
OhMyMikeya,Positive,100.0
OttoGoodwill,Negative,60.0
OttoGoodwill,Positive,40.0
PBGKemo,Negative,100.0
PatrickDati,Positive,100.0
PeggyArdellBenz,Positive,100.0
PplsAction,Negative,100.0
PrezTbgm,Positive,100.0
ProfHalloran,Positive,100.0
Psk113050,Negative,100.0
QueenTEENA4,Positive,100.0
RAWdva,Positive,100.0
RAWneighbors,Positive,82.05128205128204
RAWneighbors,Negative,17.94871794871795
RJadeStarbuck,Negative,100.0
RLopez15thWard,Negative,60.0
RLopez15thWard,Positive,40.0
Rachie323,Negative,100.0
RaferWeigel,Positive,60.0
RaferWeigel,Negative,40.0
Robincha,Negative,50.0
Robincha,Positive,50.0
Robyn_McD,Positive,100.0
RocBoiP,Negative,100.0
Ruben_rsst,Negative,100.0
SAssadNews,Positive,100.0
SEIU73,Negative,100.0
SJstepdot,Positive,100.0
SOULInChicago,Positive,66.66666666666666
SOULInChicago,Negative,33.33333333333333
SSKedreporter,Negative,100.0
SaraKronenberg,Negative,100.0
Savage_Glam,Negative,50.0
Savage_Glam,Positive,50.0
Sebuscape,Negative,100.0
